# 2026-07-24T23:59:33-04:00  000b023  COUNT=10 BENCHTIME=300ms
goos: linux
goarch: amd64
pkg: github.com/jack-work/figaro/internal/chalkboard
cpu: AMD Ryzen 7 5800X 8-Core Processor             
BenchmarkMarshalJSON/default-16                 	    2156	    152491 ns/op	 100.64 MB/s	   38775 B/op	      82 allocs/op
BenchmarkMarshalJSON/default-16                 	    2190	    150996 ns/op	 101.63 MB/s	   38828 B/op	      82 allocs/op
BenchmarkMarshalJSON/default-16                 	    2224	    156219 ns/op	  98.23 MB/s	   38859 B/op	      82 allocs/op
BenchmarkMarshalJSON/default-16                 	    2408	    153954 ns/op	  99.68 MB/s	   38892 B/op	      82 allocs/op
BenchmarkMarshalJSON/default-16                 	    2605	    150674 ns/op	 101.85 MB/s	   38782 B/op	      82 allocs/op
BenchmarkMarshalJSON/default-16                 	    2380	    149029 ns/op	 102.97 MB/s	   38877 B/op	      82 allocs/op
BenchmarkMarshalJSON/default-16                 	    2113	    157139 ns/op	  97.66 MB/s	   38816 B/op	      82 allocs/op
BenchmarkMarshalJSON/default-16                 	    2259	    144813 ns/op	 105.97 MB/s	   38874 B/op	      82 allocs/op
BenchmarkMarshalJSON/default-16                 	    2424	    150301 ns/op	 102.10 MB/s	   38890 B/op	      82 allocs/op
BenchmarkUnmarshalJSON/default-16               	    1677	    186939 ns/op	  82.09 MB/s	   29176 B/op	     204 allocs/op
BenchmarkUnmarshalJSON/default-16               	    2044	    184399 ns/op	  83.22 MB/s	   29176 B/op	     204 allocs/op
BenchmarkUnmarshalJSON/default-16               	    1906	    186069 ns/op	  82.47 MB/s	   29176 B/op	     204 allocs/op
BenchmarkUnmarshalJSON/default-16               	    1752	    190351 ns/op	  80.62 MB/s	   29176 B/op	     204 allocs/op
BenchmarkUnmarshalJSON/default-16               	    2091	    181786 ns/op	  84.42 MB/s	   29176 B/op	     204 allocs/op
BenchmarkUnmarshalJSON/default-16               	    1780	    187653 ns/op	  81.78 MB/s	   29176 B/op	     204 allocs/op
BenchmarkUnmarshalJSON/default-16               	    1791	    187876 ns/op	  81.68 MB/s	   29176 B/op	     204 allocs/op
BenchmarkUnmarshalJSON/default-16               	    1932	    185362 ns/op	  82.79 MB/s	   29176 B/op	     204 allocs/op
BenchmarkUnmarshalJSON/default-16               	    2086	    184688 ns/op	  83.09 MB/s	   29176 B/op	     204 allocs/op
BenchmarkUnmarshalJSON/default-16               	    2108	    188287 ns/op	  81.50 MB/s	   29176 B/op	     204 allocs/op
BenchmarkJSONRoundTrip/default-16               	    1090	    337955 ns/op	   68739 B/op	     286 allocs/op
BenchmarkJSONRoundTrip/default-16               	    1116	    336505 ns/op	   68714 B/op	     286 allocs/op
BenchmarkJSONRoundTrip/default-16               	    1104	    334172 ns/op	   68630 B/op	     286 allocs/op
BenchmarkJSONRoundTrip/default-16               	    1044	    336627 ns/op	   68613 B/op	     286 allocs/op
BenchmarkJSONRoundTrip/default-16               	    1057	    334945 ns/op	   68790 B/op	     286 allocs/op
BenchmarkJSONRoundTrip/default-16               	    1152	    337736 ns/op	   68771 B/op	     286 allocs/op
BenchmarkJSONRoundTrip/default-16               	    1123	    335501 ns/op	   68659 B/op	     286 allocs/op
BenchmarkJSONRoundTrip/default-16               	    1101	    337280 ns/op	   68789 B/op	     286 allocs/op
